CIK,Ticker,Name,Exchange,SIC,Business,Incorporated
1551152,ABBV,Abbvie Inc,NYSE,2834,IL,DE
1800,ABT,Abbott Laboratories,NYSE,2834,IL,IL
813621,ACO,Amcol International Corp,NYSE,1400,IL,DE
1529377,ACRE,Ares Commercial Real Estate Corp,NYSE,6798,IL,MD
1368457,ACV,Alberto-culver Co,NYSE,2844,IL,DE
712034,ADB,Acco Brands Corp,NYSE,2780,IL,DE
7084,ADM,Archer Daniels Midland Co,NYSE,2070,IL,DE
1391461,AGC,Advent Claymore Convertible Securities & Income Fund II,NYSE,,IL,DE
1472595,AH,Accretive Health Inc,NYSE,8741,IL,DE
1750,AIR,Aar Corp,NYSE,3720,IL,DE
354190,AJG,Gallagher Arthur J & Co,NYSE,6411,IL,DE
899051,ALL,Allstate Corp,NYSE,6331,IL,DE
896622,ATR,Aptargroup Inc,NYSE,3089,IL,DE
1499686,AVIV,Aviv REIT Inc,NYSE,6798,IL,MD
1219120,AVK,Advent Claymore Convertible Securities & Income Fund,NYSE,,IL,DE
52795,AXE,Anixter International Inc,NYSE,5063,IL,DE
10456,BAX,Baxter International Inc,NYSE,3841,IL,DE
14930,BC,Brunswick Corp,NYSE,3510,IL,DE
789073,BEAM,Beam Inc,NYSE,2080,IL,DE
1057436,BEE,Strategic Hotels & Resorts Inc,NYSE,6798,IL,
770944,BFT,Bally Total Fitness Holding Corp,NYSE,7997,IL,DE
1161448,BOT,Cbot Holdings  Inc,NYSE,6200,IL,DE
1533526,BRSS,Global Brass & Copper Holdings Inc,NYSE,3350,IL,
18172,CAS,Castle A M & Co,NYSE,5051,IL,MD
18230,CAT,Caterpillar Inc,NYSE,3531,IL,DE
1324404,CF,CF Industries Holdings Inc,NYSE,2870,IL,DE
34115,CLE,Claires Stores Inc,NYSE,5600,IL,DE
1063980,CLK,Clark Inc,NYSE,6411,IL,DE
21175,CNA,Cna Financial Corp,NYSE,6331,IL,DE
315189,DE,Deere & Co,NYSE,3523,IL,DE
1393612,DFS,Discover Financial Services,NYSE,6141,IL,DE
29905,DOV,Dover Corp,NYSE,3530,IL,DE
1314128,DPD,Dow 30 Premium & Dividend Income Fund Inc,NYSE,,IL,MD
1515671,DPG,Duff & Phelps Global Utility Income Fund Inc,NYSE,,IL,
1390840,DPO,Dow 30 Enhanced Premium & Income Fund Inc,NYSE,,IL,MD
879535,DTF,DTF Tax-free Income Inc,NYSE,,IL,MD
894239,DUC,Duff & Phelps Utility & Corporate Bond Trust Inc,NYSE,,IL,MD
